County,RAI,Renewable MW,Current DC MW,Dist to Dallas (mi),Suggested Policy MW
LAMAR,0.7193,1369.5,0.0,104.54546761616619,1333.0
LIMESTONE,0.7598,1005.3,0.0,86.25830893721627,1164.0
YOUNG,0.8795,698.0,0.0,133.3503289533929,666.0
MILLS,0.8327,849.2,0.0,152.37470714564506,643.0
COOKE,0.6898,477.6,0.0,66.061939281874,563.0
JACK,0.8677,380.0,0.0,100.00279668552744,460.0
WILBARGER,0.7898,1015.2,400.0,191.14230301242225,439.0
HASKELL,0.7657,1290.0,1000.0,204.2851750593834,420.0
THROCKMORTON,0.9091,559.2,0.0,168.93933994044377,384.0
SHACKELFORD,0.8866,565.6,0.0,176.45999671957557,343.0
KNOX,0.8618,954.4,0.0,211.07237985582876,297.0
EASTLAND,0.7091,407.5,0.0,143.8232305427307,286.0
CALLAHAN,0.7181,602.9,0.0,180.8244269518154,279.0
FRANKLIN,0.865,250.0,0.0,112.34498941639347,276.0
HOPKINS,0.7374,250.0,0.0,88.88510853778862,276.0
FANNIN,0.7417,216.6,0.0,73.80117689135074,264.0
RED RIVER,0.6547,300.0,0.0,133.85029065361317,212.0
TAYLOR,0.6492,970.1,2412.0,215.9297197096364,199.0
BROWN,0.7921,320.0,0.0,166.99116639276022,196.0
BOSQUE,0.6839,180.9,40.0,83.63003829240427,191.0
