Centroid,Voltage Class (kV),Owner
"-106.617251, 35.087911","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-97.130854, 32.813881","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.377267, 28.983874","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.432277, 32.255584","100-161","NOT AVAILABLE"
"-96.761496, 32.764207","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.672662, 32.542967","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.957599, 29.798465","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-93.956361, 29.938777","100-161","ENTERGY TEXAS, INC."
"-103.512675, 31.781982","100-161","ONCOR ELECTRIC DELIVERY CO."
"-100.941980, 32.811739","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.241197, 32.538249","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.165626, 31.527290","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.148725, 31.537974","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.227183, 32.341837","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.764121, 32.827181","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.640024, 31.574446","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.165129, 31.682530","100-161","NOT AVAILABLE"
"-94.163593, 31.682235","100-161","NOT AVAILABLE"
"-94.165160, 31.682861","100-161","NOT AVAILABLE"
"-106.597363, 35.186703","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-98.587087, 29.354241","100-161","BANDERA ELECTRIC COOP, INC"
"-103.295421, 32.666920","100-161","SOUTHWEST PUBLIC SERVICE COMPANY"
"-93.934158, 30.709132","100-161","DEEP EAST TEXAS ELEC COOP INC"
"-97.183957, 31.493462","100-161","ONCOR ELECTRIC DELIVERY CO."
"-105.165317, 36.027395","100-161","MORA-SAN MIGUEL ELECTRIC COOPERATIVE"
"-97.111734, 31.557542","100-161","NOT AVAILABLE"
"-97.340885, 31.271912","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.346324, 31.383552","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.530970, 29.817251","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.911104, 33.097227","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.744713, 32.394389","100-161","AEP TEXAS NORTH CO."
"-97.513659, 35.688486","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.486131, 31.182730","100-161","CITY OF BRYAN - (TX)"
"-97.483197, 35.588788","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.816923, 32.795648","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.188941, 35.495580","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.432859, 35.348445","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-105.988811, 35.686887","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-96.535503, 30.616728","100-161","NOT AVAILABLE"
"-106.075642, 35.702070","100-161","NOT AVAILABLE"
"-106.012480, 35.645580","100-161","NOT AVAILABLE"
"-108.332344, 32.634888","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-96.579535, 30.864842","100-161","MID-SOUTH ELECTRIC COOP ASSN"
"-108.320302, 32.630828","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-103.487923, 32.797823","100-161","LEA COUNTY ELECTRIC COOPERATIVE"
"-93.779665, 30.051559","100-161","ENTERGY TEXAS, INC."
"-97.978604, 33.096190","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.954011, 33.098779","100-161","ONCOR ELECTRIC DELIVERY CO."
"-93.749180, 30.058278","100-161","ENTERGY TEXAS, INC."
"-94.705077, 32.492502","100-161","SOUTHWESTERN ELECTRIC POWER CO."
"-102.518843, 31.688859","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.419988, 31.767334","100-161","ONCOR ELECTRIC DELIVERY CO."
"-104.431144, 32.885739","100-161","SOUTHWEST PUBLIC SERVICE COMPANY"
"-104.425247, 32.929713","100-161","SOUTHWEST PUBLIC SERVICE COMPANY"
"-96.463988, 30.651165","100-161","CITY OF BRYAN - (TX)"
"-95.213229, 29.756104","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.462650, 30.766271","100-161","NOT AVAILABLE"
"-95.138379, 29.683988","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.491830, 30.732764","100-161","CITY OF BRYAN - (TX)"
"-94.674709, 29.935618","100-161","ENTERGY TEXAS, INC."
"-101.586417, 36.495725","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
